image_name,color_hue_hist_0,color_hue_hist_1,color_hue_hist_2,color_hue_hist_3,color_hue_hist_4,color_hue_hist_5,color_hue_hist_6,color_hue_hist_7,color_hsv_mean_0,color_hsv_mean_1,color_hsv_mean_2,color_hsv_std_0,color_hsv_std_1,color_hsv_std_2,color_dominant_colors_0_0,color_dominant_colors_0_1,color_dominant_colors_0_2,color_dominant_colors_1_0,color_dominant_colors_1_1,color_dominant_colors_1_2,color_dominant_colors_2_0,color_dominant_colors_2_1,color_dominant_colors_2_2,shape_area,shape_perimeter,shape_aspect_ratio,shape_circularity,shape_solidity,shape_hu_moments_0,shape_hu_moments_1,shape_hu_moments_2,shape_hu_moments_3,edge_convexity,edge_significant_concavities,edge_complexity,edge_angle_variance,vein_vein_density,vein_direction_consistency,vein_mean_vein_width,vein_var_vein_width,tree_type
image_15.JPG,-3.65253072232008e-09,0.10492552071809769,1.0,0.2337718904018402,0.11405893415212631,0.04740675911307335,0.06730455160140991,0.09149722754955292,47.95003338526597,161.84253282884487,76.05686623636768,16.913428135682924,55.12663545274802,35.9083504311599,132,164,151,46,95,67,14,54,31,17913.0,626.3574267625809,0.8238636363636364,0.5737645705288769,0.9704735074222559,0.7653738730654721,2.4265356578900366,4.073561926605531,5.250177892766853,0.8036938095250605,7,4.679916111243411,0.1851777557223573,0.3437569552637436,0.4619598047343034,0.7267588,0.38663977,blueberry
image_232.JPG,-2.321030478924513e-09,0.044508226215839386,0.9999999403953552,0.2809862792491913,0.21915201842784882,0.13611839711666107,0.13515007495880127,0.14085626602172852,50.40262295081967,150.26215703192406,93.40010353753236,15.385206301194344,55.74496426343069,40.89468896860753,20,69,37,63,115,80,149,183,165,28929.5,847.4183883666992,0.9299065420560748,0.5062383294741716,0.9755517712320221,0.7929176836640337,4.477133376108584,4.043466463037303,6.393333283221861,0.7361307809517005,10,4.982271842790589,0.2623338602982274,0.3737359792924935,0.44961716323316914,0.66039777,0.32871333,blueberry
image_757.JPG,-3.346940502524376e-09,0.09890776127576828,1.0,0.14183859527111053,0.42111650109291077,0.4282463490962982,0.29444780945777893,0.24370448291301727,49.72970912502932,149.61746422707014,111.59752521698334,21.264957244274548,50.09985438388506,38.00425672138121,24,83,49,64,127,92,153,191,179,17110.5,737.5950137376785,0.8756756756756757,0.3952179128494125,0.9522762689225289,0.704306750493914,1.8931301357966395,3.806794682364421,4.882525614196099,0.7372707901728834,7,5.638799101287224,0.30434112141728514,0.36177574478067087,0.41520025729363563,0.671284,0.3256967,blueberry
image_541.JPG,1.775333657860756e-09,0.12803427875041962,1.0,0.17446237802505493,0.10951495170593262,0.09155813604593277,0.07619748264551163,0.04136558622121811,56.502496282132995,139.10925217760783,61.79859783301466,16.63044643423028,54.46267077922393,31.719842544310332,55,86,59,17,44,23,158,171,162,18881.5,626.0559096336365,0.7704081632653061,0.6053689170243697,0.97750569476082,0.7260802984303352,2.0149422131344155,4.727116937134355,5.585566377301367,0.8577102966278202,5,4.556117050577862,0.1402037008150062,0.3607924367962609,0.4540447299059345,0.6887063,0.36595574,blueberry
image_350.JPG,1.382431946694851e-09,1.0,0.6373133063316345,0.2340884506702423,0.5781524777412415,0.5328450202941895,0.3064213991165161,0.2245500385761261,46.10399115245747,166.13538041180107,106.96047880818398,15.17797841813547,55.02640427034461,37.462382212708185,14,71,44,46,117,86,125,170,152,30681.0,800.0386644601822,0.9216589861751152,0.6023617998883366,0.9738145115216149,0.7920832569728371,3.692146273447123,3.975012078430174,6.445604184587889,0.800487607277776,8,4.567475440929959,0.2411921692820903,0.3862993201704453,0.4369481524297285,0.6316131,0.30331773,blueberry
image_357.JPG,1.469743438065052e-09,0.13304784893989563,1.0,0.22083580493927002,0.06859125941991806,0.016464857384562492,0.04939457029104233,0.091110460460186,49.12065731222331,168.46619644331057,72.3857582351617,20.483511576271077,54.76142826638629,35.335389716366805,138,167,156,13,52,30,44,93,65,13330.5,557.8305140733719,1.0583941605839415,0.538333949597185,0.9723904004668465,0.7238607321960281,2.001692370648431,4.052876916874652,5.083803339268586,0.8111905773939199,5,4.831467332615086,0.20927691739486604,0.3475650934193742,0.45947544768674875,0.71109927,0.36863986,blueberry
image_579.JPG,2.3246684577316046e-09,0.07079695910215378,1.0,0.3563353419303894,0.3087083101272583,0.16935303807258606,0.1484777182340622,0.13034474849700928,49.51832410305803,157.7290633277149,90.86650614013966,18.7478307953706,52.961760921695976,36.81550958451827,18,68,38,54,109,76,134,175,158,20734.5,822.0802949666977,0.7255813953488373,0.3855448925725469,0.9520191005303152,0.7213331782777558,2.0038434597424537,3.8403715959074365,4.551975866041927,0.7159701552406027,12,5.7090974332425155,0.271879549077012,0.3950878882735372,0.39510309776690444,0.62520796,0.30952564,blueberry
image_327.JPG,2.88855517283082e-09,0.09608835726976395,1.0,0.31195876002311707,0.24228861927986145,0.11248419433832169,0.10654860734939575,0.12075509130954742,48.18914721600512,159.89444114557165,86.60247567715709,17.147959540201473,54.9161109962323,36.13917518301455,48,102,71,15,62,36,120,157,139,21874.0,727.6955194473267,0.8168316831683168,0.5190852279896557,0.9702803406671399,0.7380457734461764,2.1055977072583087,4.552383271147676,5.98499350081304,0.7840750765129149,12,4.920232178997408,0.2203283941968772,0.3491983739094688,0.38041479706935455,0.70886225,0.35786685,blueberry
image_445.JPG,4.496541805565357e-09,0.21709902584552765,1.0,0.20642201602458954,0.5673046708106995,0.2592534124851227,0.22413793206214905,0.235368549823761,47.957070569671906,159.5096577615757,99.8617443821753,18.68248259232652,47.92969455118299,36.36581619970427,19,72,42,46,110,76,128,172,156,18320.5,677.5117536783218,0.7135678391959799,0.5015491727651367,0.9595652743223779,0.7642550810794067,2.4375638345118853,4.2262342716004175,5.8340163386387065,0.7672460165137311,8,5.0055081495242835,0.2477050075044833,0.32515370803634586,0.3831756322863593,0.7577551,0.40066814,blueberry
image_243.JPG,-2.990418579429388e-09,1.0,0.07516645640134811,0.0013206375297158957,0.2591206729412079,0.4291531443595886,0.20695537328720093,0.09453584998846054,43.22072451558551,184.46301600673968,118.87249368155013,17.755791446395243,60.77631399137338,38.80343343617032,6,8,7,125,174,158,26,117,87,23738.0,723.7543934583664,0.7916666666666666,0.5694709352416591,0.953275907073871,0.786424125675192,3.1879320849806017,4.8819066507769975,6.7713252069254946,0.8046643562012431,7,4.697525543495469,0.12524473012995116,0.3769165964616681,0.440399272209663,0.6418948,0.30102098,blueberry
